Word,Count
*,14801
-->,4306
<!--,4306
the,3311
,2430
@generated,2165
begin-user-doc,2153
end-user-doc,2153
of,1564
@see,1375
attribute,1129
object,903
value,884
The,798
for,785
'{@link,590
@ordered,523
meta,510
@return,407
a,399
Returns,390
literal,368
feature,266
new,263
class,258
@model,252
<p>,224
</p>,220
<li>{@link,220
@param,216
be,201
id,198
should,187
there,179
If,177
more,176
description,174
here..,173
meaning,173
\clear,\,173
really,173
isn't,173
reference,160
to,151
default,143
is,138
an,127
cached,125
=,112
Sets,107
and,104
This,102
result,102
implementation,102
{@link,97
as,89
model,87
instance,79
Id</em>}',76
that,71
switch,71
type,71
adapter,70
returns,68
are,67
features,67
+,66
Dao</em>',66
Id</em>',64
will,64
interpreting,62
<em>Add,60
if,60
set,58
ignore,58
Create,57
with,57
we,52
data,51
package,50
its,50
file,49
list,49
in,49
all,49
Function,48
folder,47
NOT,45
Creates,45
case,45
Dao</em>}',44
path,43
{,42
Id</b></em>',41
can,41
this,41
'<em>Add,40
representation,40
<ul>,40
A,40
</ul>,40
An,39
image,39
'<em><b>SW,39
when,39
whether,38
following,38
'<em>File,37
null,36
<em>File,36
non-null,35
specified,34
so,34
null;,34
inheritance,33
displays,33
method,33
TODO:,33
target,33
#getCreated(),32
objects,32
},32
\required="\true"\\,32
name,31
Image},31
returning,31
#doSwitch(org.eclipse.emf.ecore.EObject),31
catch,31
contents,31
or,31
anyway,31
terminate,31
on,31
'<em><b>Add,30
In,30
#getName(),30
Status,30
it's,29
it,29
cases,29
cases;,29
structural,29
number,29
easily,29
doSwitch(EObject),29
useful,29
parent,28
(,28
return,28
containment,27
Test,27
Id</em>}</li>,26
not,26
<em>Created</em>}',26
use,26
TODO,25
$NON-NLS-1$,25
'<em>Created</em>',25
#isDeleted(),25
Plan</b></em>',24
'<em>Name</em>',24
<em>Name</em>}',24
from,24
by,24
has,23
),23
enum,23
factory,22
<em>User,22
Dao</b></em>',22
which,21
'<em>User,21
Status</em>',21
function,21
<em>Connection,21
'<em>Deleted</em>',20
'<em><b>Name</b></em>',20
wizard,20
<em>Deleted</em>}',20
each,20
\annotation="\teneo.jpa\,20
Type</b></em>',20
at,20
#getModified(),20
dialog,19
supported:,18
private,18
Milestone,18
Report</b></em>',18
String,18
Status</em>}',18
'<em><b>Created</b></em>',18
Type,18
implemented:,18
revision,17
Source,17
field,17
\"\\,17
true,17
any,17
'<em><b>File,17
Type</em>}',17
content,17
#getConnection(),17
base,16
'<em>Connection,16
plugin,16
\dataType="\general.Date"\\,16
decorated,16
public,16
create,16
member,16
//////////////////////////////////////////////////////////////////////////,16
<em>Modified</em>}',16
'<em>Modified</em>',16
information,16
literals,15
Class</b></em>',15
'<em><b>Deleted</b></em>',15
Management,15
'<em><b>System,15
#getAddInfo3(),15
Object,15
#getAddInfo1(),15
<em>Event,15
#getAddInfo2(),15
</b></em>',15
s,14
add,14
'<em><b>Session</b></em>',14
reviewed,14
\unsettable="\true"\\,14
general.QualityCriteria,14
<em>Object,14
static,14
available,14
'<em><b>Connection,14
1,14
\"\|"\\,14
Status</b></em>',14
\many="\false"\\,14
Unsets,14
been,14
14.03.2012,14
'<em><b>Persistent,14
To,13
#getContainer(),13
Auto-generated,13
Type</em>',13
'<em>User</em>',13
'<em>Snapshot</em>',13
images,13
'<em>Session,13
\dataType="\dao.List"\\,13
'<em>Container</em>',13
Info1</em>',12
Date</em>',12
Requirements,12
Specification</b></em>',12
root,12
used,12
<em>Container,12
no,12
<em>Snapshot,12
Info3</em>}',12
'<em><b>Modified</b></em>',12
value='@Id,12
Info3</em>',12
'<em>Event,12
enumeration,12
<em>Data,12
Used</em>',12
you,12
Info2</em>',12
<li>each,12
<em>Created</em>}</li>,12
<em>Function,12
view,12
<em>Last,12
Id,12
based,12
'<em><b>Software,12
<em>Check,12
start,12
now,12
here,12
Info2</em>}',12
'<em>Content,12
Used</em>}',12
Integration,12
Date</em>}',12
<em>Name</em>}</li>,12
Info1</em>}',12
);,12
\id="\true"\\,12
first,12
check,12
'<em>Container,11
but,11
v,11
'<em>Function,11
stored,11
functions,11
'<em>Snapshot,11
#getFileFunctionStatus(),11
given,11
stub,11
ID,11
created,11
'<em>Data,11
<em>Session,11
Date</b></em>',11
'<em><b>Event,11
'<em>Check,11
ImageDescriptor},11
snapshot,11
(non-Javadoc),11
#getType(),10
-,10
#getComment(),10
si,10
\@GeneratedValue(generator=\"\system-uuid\"\)'"\\,10
<em>Root,10
#getDescription(),10
#getSuffix(),10
#getUsername(),10
<em>Deleted</em>}</li>,10
#getContentObject(),10
#getLastUsed(),10
Initialize,10
<em>Of,10
<em>Part,10
lock,10
#getRelease(),10
'<em><b>User,10
#getPassword(),10
#getUser(),10
enumerators,10
It,10
decorator,10
'<em><b>Change,9
instances,9
#getFunction(),9
'<em>Object,9
else,9
font,9
'<em>Function</em>',9
Info3</b></em>',9
Info1</b></em>',9
matching,9
Info2</b></em>',9
part,9
#getSnapshot(),9
'<em>Folder</em>',9
Used</b></em>',9
resource,9
implement,9
changed,9
Specification,9
#setCreated(Date),8
#getSource(),8
<em>Type</em>}',8
<em>Suffix</em>}',8
'<em>Owner</em>',8
general.Container,8
<em>User</em>}',8
corner,8
get,8
'<em>Description</em>',8
Of</em>',8
2,8
one,8
Name</em>',8
#getDataSource(),8
\"\--"\\,8
<em>Password</em>}',8
'<em>Release</em>',8
change,8
selection,8
Ignore,8
<em>Source</em>}',8
'<em>Part,8
exceptions,8
Snapshot,8
general.User,8
'<em>Root,8
<em>Comment</em>}',8
status,8
general.Snapshot,8
'<em><b>Milestone</b></em>',8
stores,8
up,8
session,8
Status</em>}</li>,8
<em>Snapshot</em>}',8
<em>Task,8
'<em><b>Object,8
'<em>Of,8
have,8
general.Folder,8
general.documentType,8
<em>Release</em>}',8
'<em>Comment</em>',8
resources,8
<em>Set,8
remove,8
==,8
<em>Username</em>}',8
general.ConnectionType,8
<em>Content,8
Name</em>}',8
'<em>Type</em>',8
'<em>Source</em>',8
'<em>Suffix</em>',8
List</b></em>',8
general.Milestone,8
size,8
\class,</li>\,8
'<em>Last,8
IAdaptable,8
folders,8
style,8
bar,8
'<em><b>Release</b></em>',8
methods,8
<em>Container</em>}',8
initial,8
Name</b></em>',8
'<em><b>Part,8
Of</b></em>',8
<em>Modified</em>}</li>,8
<em>Description</em>}',8
sets,8
'<em>Password</em>',8
'<em>Username</em>',8
master,8
#getDataSourceId(),7
<em>Milestone</em>}',7
#getFileTypeId(),7
#getFunctionId(),7
Maps,7
final,7
#getCheckInMilestoneId(),7
#getSnapshotId(),7
Set,7
File,7
#getUserId(),7
'<em>Date</em>',7
#getEvent(),7
locked,7
void,7
Font},7
#getContainerId(),7
#getTaskId(),7
specific,7
'<em>Session</em>',7
already,7
#getFileFunctionStatusId(),7
Dispose,7
entry,7
#getConnectionId(),7
@implements,7
clear,7
was,7
Folder,7
Check,7
working,7
where,7
'<em><b>Function</b></em>',7
color,7
associated,7
#getSetOn(),7
\snapshotDataType="\dao.Snapshot"\\,7
#getEventId(),7
Factory</em>',7
#getObjectId(),7
meta-data,6
'<em><b>Username</b></em>',6
fetch,6
Project,6
<em>Full,6
System,6
string,6
<em>Configuration,6
Milestone</em>',6
button,6
classes,6
version,6
OS,6
'<em>Task</em>',6
'<em><b>Description</b></em>',6
general.EventType,6
Container,6
<em>Synergy,6
<em>Up,6
<em>Mks,6
application,6
'<em>File</em>',6
<em>Creation,6
'<em>Event</em>',6
'<em><b>document,6
