File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver\src\com\amenity\dbserver\Activator.java,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare\CompareViewObject.java,69,51,36,5,18,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare\SnapshotComparator.java,562,361,257,68,83,6,118,592,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\ContainerContentProvider.java,64,48,31,10,16,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\ContainerLabelProvider.java,18,14,10,3,4,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider\ComponentObjectTreeContentProvider.java,64,52,31,10,12,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider\ConnectionTreeContentProvider.java,69,51,32,10,14,0,4,13,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\editingSupport\DataTypeEditingSupport.java,85,66,46,7,19,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\EventViewSorter.java,73,59,43,11,10,0,4,27,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\FunctionAssigned.java,13,9,7,1,4,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\FunctionNotAssigned.java,15,11,8,3,4,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter\NoFilter.java,11,8,6,1,3,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider\GenericNameLabelProvider.java,92,75,42,34,14,0,3,9,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider\SnapshotStyledLabelProvder.java,154,114,84,17,38,0,2,20,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksGetFile.java,147,116,92,5,25,0,6,22,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksLogin.java,102,85,69,9,15,0,2,5,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks\MksReader.java,687,259,210,41,44,2,384,1214,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\status\SessionStatus.java,26,19,15,4,7,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyGetFile.java,103,69,48,1,31,0,3,8,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyLogin.java,128,95,64,4,29,0,4,19,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyProject.java,40,32,23,3,8,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy\SynergyReader.java,218,159,117,15,34,0,25,75,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\ConnectionDao.java,33,9,8,0,6,1,18,46,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\ContainerDao.java,26,4,3,0,4,1,18,45,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\ContentObjectDao.java,80,15,11,0,11,1,54,140,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\DaoFactory.java,151,19,18,0,18,1,114,480,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\DaoPackage.java,1124,121,119,0,120,1,883,3283,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\EventDao.java,18,3,2,0,3,1,12,31,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\FileDao.java,18,3,2,0,3,1,12,31,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\FileFunctionStatusDao.java,62,11,9,0,9,1,42,108,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\FolderDao.java,29,6,5,0,5,1,18,47,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\FunctionDao.java,46,9,7,0,7,1,30,76,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\GeneralQueries.java,27,5,4,0,4,1,18,45,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\GenericDao.java,157,21,19,0,18,1,118,394,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\HibernateUtil.java,53,7,6,0,6,1,40,151,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\SnapshotDao.java,46,9,7,0,7,1,30,80,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\UserDao.java,27,5,4,0,4,1,18,47,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\ConnectionDaoImpl.java,117,72,53,5,14,1,31,79,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\ContainerDaoImpl.java,99,55,42,3,18,1,26,66,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\ContentObjectDaoImpl.java,238,137,94,17,41,1,60,171,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\DaoFactoryImpl.java,442,206,139,53,45,1,191,470,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\DaoPackageImpl.java,744,303,273,29,133,1,308,896,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\EventDaoImpl.java,40,13,9,1,6,1,21,53,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\FileDaoImpl.java,91,60,44,7,10,1,21,53,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\FileFunctionStatusDaoImpl.java,198,114,80,10,34,1,50,138,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\FolderDaoImpl.java,112,76,60,11,10,1,26,66,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\FunctionDaoImpl.java,99,53,40,6,15,1,31,79,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\GeneralQueriesImpl.java,79,33,26,4,9,1,37,103,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\GenericDaoImpl.java,394,196,144,24,35,2,163,485,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\HibernateUtilImpl.java,266,134,89,14,36,1,96,305,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\SnapshotDaoImpl.java,151,86,65,10,20,1,45,137,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl\UserDaoImpl.java,117,79,59,10,12,1,26,66,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\util\DaoAdapterFactory.java,337,129,77,35,26,1,182,1029,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\util\DaoSwitch.java,374,155,119,54,23,1,196,1131,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\AdaptableClass.java,19,4,3,0,3,1,12,33,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\CheckInMilestone.java,155,14,13,0,13,1,128,557,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Connection.java,521,42,41,0,40,1,439,1918,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\ConnectionType.java,234,67,46,14,22,2,145,480,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Container.java,327,28,27,0,26,1,273,1182,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\ContentObject.java,317,28,27,0,25,1,264,1137,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\DataSource.java,264,23,22,0,22,1,219,961,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\documentType.java,1262,219,122,14,99,1,944,3467,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Event.java,246,21,20,0,20,1,205,872,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\EventType.java,236,67,46,14,23,1,146,480,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\File.java,160,14,13,0,13,1,133,563,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\FileFunctionStatus.java,397,32,31,0,30,1,335,1478,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\FileType.java,189,17,16,0,16,1,156,656,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Folder.java,49,5,4,0,4,1,40,152,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Function.java,245,22,21,0,20,1,203,854,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\GeneralFactory.java,178,22,21,0,21,1,135,550,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\GeneralPackage.java,4099,442,440,0,436,1,3221,12215,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Milestone.java,452,99,62,14,39,1,314,1034,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\QualityCriteria.java,286,75,50,14,25,3,186,621,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\SessionSatus.java,108,10,9,0,9,1,89,381,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Snapshot.java,245,22,21,0,20,1,203,836,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\Task.java,190,17,16,0,16,1,157,656,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\User.java,243,21,20,0,20,1,202,861,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\UserList.java,53,7,6,0,6,1,40,146,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\CheckInMilestoneImpl.java,357,165,112,33,34,1,158,462,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\ConnectionImpl.java,1123,498,332,105,91,1,534,1596,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\ContainerImpl.java,724,326,222,64,60,1,338,1005,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\ContentObjectImpl.java,690,313,214,60,57,1,320,951,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\DataSourceImpl.java,597,266,180,50,52,1,279,831,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\EventImpl.java,551,247,168,49,47,1,257,750,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\FileFunctionStatusImpl.java,803,362,249,72,67,1,374,1123,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\FileImpl.java,389,173,116,34,35,1,181,525,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\FileTypeImpl.java,416,177,121,32,38,1,201,590,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\FolderImpl.java,156,72,45,16,16,1,68,179,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\FunctionImpl.java,544,244,166,48,48,1,252,737,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\GeneralFactoryImpl.java,456,215,150,57,45,1,196,481,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\GeneralPackageImpl.java,2011,931,714,135,222,1,858,2221,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\SessionSatusImpl.java,272,116,77,21,26,1,130,378,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\SnapshotImpl.java,526,236,162,47,47,1,243,704,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\TaskImpl.java,443,201,136,41,39,1,203,583,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\UserImpl.java,524,223,153,40,46,1,255,755,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl\UserListImpl.java,158,72,46,13,18,1,68,178,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\util\GeneralAdapterFactory.java,391,150,89,41,29,1,212,1205,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\util\GeneralSwitch.java,428,173,131,54,26,1,229,1309,2,2
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\properties\ElementProperties.java,424,259,180,55,107,2,58,202,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\properties\_OLD_SnapshotElementProperties.java,133,87,63,13,28,0,18,56,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com\amenity\swtbot\tests\Activator.java,31,15,11,1,8,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com\amenity\swtbot\tests\UserInterfaceTester.java,14,9,6,0,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\Activator.java,139,82,66,3,26,2,31,88,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\Application.java,65,45,34,10,11,0,9,22,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\ApplicationActionBarAdvisor.java,23,8,6,0,6,0,9,62,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\ApplicationWorkbenchAdvisor.java,41,26,19,2,11,0,4,9,0,0
