Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,165,40812,17729,13269,2311,5052,124,18031,64782,172,258
D:\uidu1448\Amenity\Amenity,165,40812,17729,13269,2311,5052,124,18031,64782,172,258
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver,1,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver\src,1,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver\src\com,1,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver\src\com\amenity,1,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.dbserver\src\com\amenity\dbserver,1,83,48,34,4,18,0,17,47,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper,21,2734,1756,1279,263,436,8,542,1964,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\compare,2,615,412,293,73,100,6,103,557,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui,11,656,507,340,107,139,0,10,61,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\contentProvider,2,131,103,63,20,27,0,1,5,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\editingSupport,1,85,66,46,7,19,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\filter,4,112,87,64,16,21,0,4,27,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\gui\labelProvider,2,246,189,126,51,52,0,5,29,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\mks,3,943,465,374,56,86,2,392,1240,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\status,1,26,19,15,4,7,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.engine\src\com\amenity\engine\helper\synergy,4,494,353,257,23,104,0,37,106,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.model,77,28229,8880,6493,1430,2832,82,16517,59116,152,152
D:\uidu1448\Amenity\Amenity\com.amenity.model\src,77,28229,8880,6493,1430,2832,82,16517,59116,152,152
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao,32,5771,2143,1633,293,714,33,2914,10261,64,64
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\impl,15,3171,1613,1214,204,441,16,1117,3113,30,30
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\dao\util,2,711,284,196,89,49,2,378,2160,4,4
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general,44,22034,6478,4680,1082,2011,47,13545,48653,88,88
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\impl,18,10740,4837,3363,917,988,18,4915,14049,36,36
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\general\util,2,819,323,220,95,55,2,441,2514,4,4
D:\uidu1448\Amenity\Amenity\com.amenity.model\src\properties,1,424,259,180,55,107,2,58,202,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com\amenity,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com\amenity\swtbot,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.swtbot.tests\src\com\amenity\swtbot\tests,2,45,24,17,1,13,0,8,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench,64,9721,7021,5446,613,1753,34,947,3643,20,106
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src,64,9721,7021,5446,613,1753,34,947,3643,20,106
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com,62,8859,6560,5085,529,1747,18,552,1861,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity,62,8859,6560,5085,529,1747,18,552,1861,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench,62,8859,6560,5085,529,1747,18,552,1861,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs,5,723,504,395,32,115,5,104,316,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\interfaces,1,36,24,23,0,10,0,2,3,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage,3,260,193,139,4,63,1,4,14,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter,4,1085,759,530,112,261,2,65,278,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views,20,3955,3002,2330,221,751,7,202,737,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities,13,307,224,161,13,71,0,12,28,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards,15,2006,1519,1239,118,384,1,103,276,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer,3,174,128,108,9,38,0,8,21,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource,9,1370,1044,849,86,247,1,79,209,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot,3,462,347,282,23,99,0,16,46,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org,2,862,461,361,84,6,16,395,1782,20,106
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org\eclipse,2,862,461,361,84,6,16,395,1782,20,106
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org\eclipse\wb,2,862,461,361,84,6,16,395,1782,20,106
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org\eclipse\wb\swt,2,862,461,361,84,6,16,395,1782,20,106
